First Name,Last Name,Email,Password,Username,Total Gross Income,Taxes Income & FICA,New Mortgages,New Auto Loans,New Student Loans,Financial Gifts,Child Support Received,Alimony Received,Relationship Name,Relationship DoB,Relationship Type,Acct Jan 1 Bal.,Acct Dec 31 Bal.,Acct Contributions,Acct Withdrawals,Acct Type
Billy,Mays,holtalanm+billymays@gmail.com,123456,bmays,160000,5000,1,2,3,400,250,750,Bob Dole,12/17/1979,Client,7000,6000,,,Bank
~,,,,,,,,,,,,,Rosie,01/08/2017,Child,100000,90000,,,Mortgage
~,,,,,,,,,,,,,,,,5000,4000,,,Credit Card
~,,,,,,,,,,,,,,,,5000,5400,500,100,529 Plan
~,,,,,,,,,,,,,,,,15000,20000,5000,0,Investment
~,,,,,,,,,,,,,,,,5000,7000,150,0,Investment
~,,,,,,,,,,,,,,,,10000,8000,,,Auto Loan
~,,,,,,,,,,,,,,,,5000,3000,,,Auto Loan
~,,,,,,,,,,,,,,,,22000,21000,,,Student Loan
~,,,,,,,,,,,,,,,,5000,5500,500,0,Retirement
~,,,,,,,,,,,,,,,,500,2100,2000,400,HSA
Carrie,Fisher,holtalanm+carriefisher@gmail.com,123456,cfisher,27000,6000,0,0,0,0,0,0,Sarah Doe,04/05/1976,Client,6000,16000,,,Bank
~,,,,,,,,,,,,,Darth Vader,05/04/1970,Client,24000,20000,,,Bank
~,,,,,,,,,,,,,Luke Skywalker,05/04/1980,Child,5000,6000,1000,0,Investment
~,,,,,,,,,,,,,Leia Skywalker,05/04/1981,Child,4500,4000,2000,2500,529 Plan
~,,,,,,,,,,,,,,,,5000,6000,1000,0,529 Plan
~,,,,,,,,,,,,,,,,250000,238000,,,Mortgage
~,,,,,,,,,,,,,,,,250000,13000,,,Auto Loan
~,,,,,,,,,,,,,,,,250000,20000,,,Student Loan
~,,,,,,,,,,,,,,,,450000,500000,50000,0,Retirement
~,,,,,,,,,,,,,,,,2500,2500,5000,5000,HSA
Tank,Johnson,holtalanm+tjohnson@gmail.com,123456,tjohnson,15000,1000,1,1,0,50,0,0,Jim Bob,10/10/2010,Child,25,16,,,Bank
~,,,,,,,,,,,,,Billy Bob,03/05/2005,Child,,,,,
~,,,,,,,,,,,,,Duane Wilson,04/07/1986,Client,,,,,
