First Name,Last Name,Email,Password,Username,Total Gross Income,Taxes Income & FICA,New Mortgages,New Auto Loans,New Student Loans,Financial Gifts,Child Support Received,Alimony Received,Relationship Name,Relationship DoB,Relationship Type,Acct Jan 1 Bal.,Acct Dec 31 Bal.,Acct Contributions,Acct Withdrawals,Acct Type
Billy,Mays,holtalanm+billymays@gmail.com,123456,bmays,160000,5000,1,2,3,400,250,750,Bob Dole,12/17/1979,Client,7000,6000,,,Bank
~,,,,,,,,,,,,,Rosie,01/08/2017,Child,100000,90000,,,Mortgage
~,,,,,,,,,,,,,,,,5000,4000,,,Credit Card
~,,,,,,,,,,,,,,,,5000,5400,500,100,529 Plan
~,,,,,,,,,,,,,,,,15000,20000,5000,0,Investment
~,,,,,,,,,,,,,,,,5000,7000,150,0,Investment
~,,,,,,,,,,,,,,,,10000,8000,,,Auto Loan
~,,,,,,,,,,,,,,,,5000,3000,,,Auto Loan
~,,,,,,,,,,,,,,,,22000,21000,,,Student Loan
~,,,,,,,,,,,,,,,,5000,5500,500,0,Retirement
~,,,,,,,,,,,,,,,,500,2100,2000,400,HSA
